model,abstain_threshold_validation,validation_raw_macro_f1,validation_deployed_macro_f1,test_raw_macro_f1,test_deployed_macro_f1
Dummy,0.0,0.2091593973037272,0.2091593973037272,0.20866498740554157,0.20866498740554157
Logistic Regression,0.0,0.9377363598072171,0.9377363598072171,0.9669129303308803,0.9669129303308803
Decision Tree depth=3,0.0,0.8240160553709135,0.8240160553709135,0.9135841127252092,0.9135841127252092
Random Forest,0.0,0.9306195689674092,0.9306195689674092,0.9575867293483507,0.9575867293483507
